source_index,question
0010,"นาย ก. และนาง ข. ได้จดทะเบียนสมรสเมื่อปี พ.ศ. 2519 ต่อมา ได้ร่วมกันซื้อที่ดินรวม 3 แปลง และได้ยกที่ดินเฉพาะส่วนของตนทั้ง 3 แปลง ให้กับนางสาว ค. ซึ่งเป็นบุตรชอบด้วยกฎหมายปรากฏตามหนังสือสัญญาให้เฉพาะส่วนรวมสามโฉนด (ท.ด.14 ข) ในการทำสัญญาให้ที่ดินดังกล่าว ซึ่งนาย ก. และนาง ข. ผู้ให้ร่วม ได้ชำระภาษีเงินได้บุคคลธรรมดาและอากรแสตมป์ครบถ้วนแล้ว แต่ในการคำนวณภาษีเงินได้บุคคลธรรมดานั้น สำนักงานที่ดิน ได้แจ้งว่าได้ยกเว้นภาษีเงินได้บุคคลธรรมดา กรณีเงินได้จากการโอนกรรมสิทธิ์ในอสังหาริมทรัพย์โดยไม่มีค่าตอบแทนให้แก่บุตรชอบด้วยกฎหมาย ตามมาตรา 42 (26) แห่งประมวลรัษฎากร เพียงจำนวนยี่สิบล้านบาท นาย ก. และนาง ข. ขอทราบว่า
    1. นาย ก. และนาง ข. ได้นำเงินที่ทำมาหาได้ร่วมกัน โดยไม่อาจแยกได้ว่าส่วนไหนเป็นเงินส่วนตัวของนาย ก. และนาง ข. ที่แต่ละคนทำมาหาได้ภายหลังการสมรสมาซื้อที่ดินทั้ง 3 แปลงดังกล่าว ที่ดินทั้ง 3 แปลงย่อมเป็นสินสมรส ตามมาตรา 1474 (1) แห่งประมวลกฎหมายแพ่งและพาณิชย์ ที่นาย ก. และนาง ข. เป็นเจ้าของกรรมสิทธิ์ร่วมกันและมีส่วนเท่ากัน ตามมาตรา 1375 แห่งประมวลกฎหมายแพ่งและพาณิชย์ ดังนั้น ทรัพย์สินอันเป็นสินสมรสก็ถือว่าต่างฝ่ายมีส่วนเป็นเจ้าของร่วมกันคนละกึ่งหนึ่งเช่นกัน ถูกต้องหรือไม่ อย่างไร
    2. เมื่อนาย ก. และนาง ข. ได้ยกที่ดินดังกล่าวให้แก่นางสาว ค. บุตรชอบด้วยกฎหมาย ซึ่งการยกให้นั้น กรมสรรพากรถือว่าเป็นการขาย ตามมาตรา 39 แห่งประมวลรัษฎากร ดังนั้น ผู้ยกให้ซึ่งอสังหาริมทรัพย์ จึงถือว่าเป็นผู้มีเงินได้พึงประเมิน ตามมาตรา 40 (8) แห่งประมวลรัษฎากร โดยมีหน้าที่ต้องนำราคาอสังหาริมทรัพย์ตามราคาประเมินฯ มารวมคำนวณภาษีเงินได้บุคคลธรรมดา และถือว่านาย ก. และนาง ข. ต่างฝ่ายต่างมีเงินได้และแต่ละฝ่ายได้รับเงินได้พึงประเมินคนละส่วนเท่ากัน และสามารถแบ่งแยกได้อย่างชัดแจ้ง เพราะฉะนั้น นาย ก. และนาง ข. จึงต่างฝ่ายต่างมีหน้าที่ยื่นแบบแสดงรายการภาษีเงินได้บุคคลธรรมดาจากการยกให้ที่ดินดังกล่าว ตามมาตรา 57 ฉ วรรคหนึ่ง แห่งประมวลรัษฎากร ถูกต้องหรือไม่
    3. เมื่อต่างฝ่ายต่างมีหน้าที่ยื่นแบบแสดงรายการภาษีเงินได้บุคคลธรรมดา แต่ละฝ่ายจึงมีสิทธิได้รับยกเว้นภาษีเงินได้บุคคลธรรมดา กรณีเงินได้จากการโอนกรรมสิทธิ์ในอสังหาริมทรัพย์โดยไม่มีค่าตอบแทนให้แก่บุตรชอบด้วยกฎหมาย ตามมาตรา 42 (26) แห่งประมวลรัษฎากร ในส่วนที่ไม่เกินยี่สิบล้านบาท มิใช่ได้รับยกเว้นเพียงยี่สิบล้านบาท ตามการคำนวณของสำนักงานที่ดินฯ ถูกต้องหรือไม่ อย่างไร"
0011,บริษัทได้ทำสัญญาให้บริการส่วนกลางสำหรับอาคารสำนักงานและอาคารร้านค้ากิจการให้บริการอื่น ๆ แก่ผู้เช่าหรือบุคคลผู้มาใช้บริการในอาคาร สัญญาดังกล่าวถือเป็นสัญญาที่อยู่ในบังคับต้องเสียอากรแสตมป์ตามหลักเกณฑ์และลักษณะแห่งตราสารตามบัญชีอัตราอากรแสตมป์หรือไม่ อย่างไร
0012,บริษัท ก. ได้ยื่นแบบ ภ.พ.30 ระบุขอคืนภาษีมูลค่าเพิ่มเป็นเงินสด โดยกรรมการบริษัท ก. ลงลายมือชื่อเป็นลายเซ็นในช่องคำรับรองข้อความที่แสดงในแบบแสดงรายการเป็นภาษาญี่ปุ่น แต่ในช่องการขอคืนภาษี ได้ลงลายมือชื่อเป็นตัวหนังสือภาษาอังกฤษ ซึ่งแตกต่างกัน การลงลายมือชื่อดังกล่าวถือว่าเป็นการลงลายมือชื่อ ที่ชอบด้วยประมวลรัษฎากรหรือไม่
0013,สำนักงาน ก. ขอความอนุเคราะห์ข้อมูล หลักเกณฑ์ ตลอดจนแนวทางปฏิบัติเกี่ยวกับ การพิจารณาถึงความสัมพันธ์ของนิติบุคคลที่ถือว่าเป็นบริษัทในเครือเดียวกันตามกฎหมาย ภาษีอากร
0014,บริษัท ก. (บริษัทฯ) ได้หารือเกี่ยวกับภาษีมูลค่าเพิ่ม กรณีการนำเข้าสินค้าที่ใช้ชื่อ C. มีข้อเท็จจริงสรุปได้ว่า บริษัทฯ ได้นำเข้าสินค้าชื่อว่า “C.” เพื่อใช้ทดแทน Choline Chloride ในอาหารสัตว์ โดยมีสรรพคุณใช้เพื่อช่วยในการทำงานของตับ และป้องกันการรั่วไหลของเอนไซม์ transaminases ในอาหารสัตว์ที่ขาด Choline แต่เนื่องจาก ข. ไม่เป็นอาหารสัตว์ ที่จะต้องขึ้นทะเบียนอาหารสัตว์ตามพระราชบัญญัติควบคุมคุณภาพอาหารสัตว์ แต่ต้องขออนุญาตนำเข้าจากกรมปศุสัตว์ ซึ่งบริษัทฯ เป็นผู้รับใบอนุญาตนำเข้าอาหารสัตว์ ตามใบอนุญาตนำเข้าอาหารสัตว์ควบคุมเฉพาะ จึงขอหารือว่า การนำเข้าสินค้าดังกล่าว เป็นการนำเข้าอาหารสัตว์ซึ่งได้รับยกเว้นภาษีมูลค่าเพิ่ม ตามมาตรา 81 (1) (ง) และมาตรา 81 (2) (ก) แห่งประมวลรัษฎากร หรือไม่
0015,"สภา ก. เป็นองค์กรที่จัดตั้งขึ้นตามพระราชบัญญัติวิชาชีพ ซึ่งตามพระราชบัญญัติดังกล่าว บัญญัติให้ สภา ก. มีฐานะเป็นนิติบุคคล สภา ก. ขอหารือ ดังนี้
  1. สภา ก. ต้องอยู่ภายใต้บังคับบทบัญญัติแห่งประมวลรัษฎากร ที่จะต้องมีหน้าที่เสีย ภาษีเงินได้นิติบุคคลหรือไม่ อย่างไร
  2. สภา ก. ถือเป็นองค์การสถานสาธารณกุศลตามประมวลรัษฎากร บุคคลธรรมดาที่บริจาค เงินหรือทรัพย์สินให้แก่สภา ก. มีสิทธินำหลักฐานการบริจาคมาหักลดหย่อนตามประมวล รัษฎากรได้หรือไม่ อย่างไร"
0016,"1. นาง ก. ปัจจุบันมีสามีเป็นชาวต่างชาติชื่อ Mr.A แต่มิได้จดทะเบียนสมรส
  2. กรมสรรพากรมีข้อมูล Exchange of Information จากสรรพากรต่างประเทศ (ประเทศ B) กรณีนาง ก. ผู้มีถิ่นที่อยู่ในประเทศไทยได้รับเงินของขวัญ (Gift) ในฐานะ แฟนสาวจาก Mr.A คิดเป็นเงินบาทไทยตามอัตราซื้อถัวเฉลี่ยเงินโอนของธนาคารแห่งประเทศไทย (ธปท.) ดังนี้
    2.1 จำนวน 1 ล้านบาท เมื่อวันที่ 20 มีนาคม 2560
    2.2 จำนวน 8 แสนบาท เมื่อวันที่ 30 มีนาคม 2561
    2.3 จำนวน 7 แสนบาท เมื่อวันที่ 14 เมษายน 2562
  3. นาง ก. แจ้งว่าได้รับเงินรายเดือนจาก Mr.A ซึ่งเป็นสามีที่มิได้จดทะเบียนสมรส เพื่อใช้สอยในครอบครัวประมาณเดือนละ 35,000 บาท โดยสําหรับปี พ.ศ. 2558 - 2559 ได้รับเงินจากสามีประมาณเดือนละ 60,000 บาท อย่างไรก็ดี ไม่เคยได้รับเงินก้อนใหญ่ แต่อย่างใด นาง ก. เดินทางไปประเทศ B ปีละสองเดือนครึ่ง และจะกลับมาอยู่ใน ประเทศไทย
  4. เงินที่นาง ก. ได้รับในกรณีดังกล่าว เป็นเงินได้ที่ได้รับยกเว้นตามมาตรา 42 (28) แห่ง ประมวลรัษฎากรหรือไม่"
0017,"บริษัท ก. (บริษัทฯ) ผู้ได้รับการส่งเสริมการลงทุนในกิจการผลิตยางตามบัตรส่งเสริม การลงทุน โดยบริษัทฯ อยู่ระหว่างเริ่มทดลองการผลิตยางดังกล่าว โดยจำเป็นต้องส่งยาง ที่ผลิตภายใต้โครงการที่ได้รับการส่งเสริมไปทดสอบคุณภาพในต่างประเทศ ซึ่งส่วนใหญ่ จะส่งให้ R&D Center ของบริษัท A. ในต่างประเทศ รวมถึงศูนย์ทดสอบของหน่วยงาน ท้องถิ่น ซึ่งขึ้นอยู่กับกฎระเบียบเกี่ยวกับมาตรฐานสินค้าที่กำหนดในแต่ละประเทศ เพื่อรับรองว่าสินค้าที่ผลิตในประเทศไทยได้มาตรฐานตามที่บริษัทแม่กำหนด โดยการส่งออก ไปทดสอบมี 3 ลักษณะ ดังนี้
    1. ส่งออกยางไปทดสอบในต่างประเทศ แล้วนำกลับเข้ามาในประเทศไทยภายใน 1 ปี โดยของนั้นยังคงสภาพเดิม ไม่มีการเปลี่ยนแปลงรูปร่างลักษณะใด ๆ
    2. ส่งออกยางไปทดสอบในต่างประเทศ แล้วนำกลับเข้ามาในประเทศไทยภายใน 1 ปี โดยของนั้นจะเปลี่ยนแปลงรูปร่างลักษณะไปจากเดิม เนื่องจากถูกทำลายระหว่างขั้นตอน การ ทดสอบ
    3. ส่งออกยางไปทดสอบในต่างประเทศ โดยมิได้นำของนั้นกลับเข้ามาในประเทศ เนื่องจากถูกทำลายจนสิ้นสภาพไม่อาจนำกลับเข้ามาในประเทศได้อีก
  จึงขอหารือกรมสรรพากร ดังนี้
    1. กรณีดังกล่าวข้างต้น บริษัทฯ จะต้องมีการรับรู้รายได้หรือไม่ อย่างไร ตามมาตรา 70 ตรี แห่งประมวลรัษฎากร
    2. เพื่อประโยชน์ในการปฏิบัติงานและใช้เป็นแนวทางในการพิจารณาการใช้สิทธิประโยชน์ ยกเว้นภาษีเงินได้นิติบุคคลสำหรับกิจการที่ได้รับการส่งเสริมได้อย่างถูกต้องตามประมวล รัษฎากร สำนักงานฯ ขอหารือว่า ผู้ประกอบการจะต้องดำเนินการตามหลักเกณฑ์ ขั้นตอน วิธีการอย่างไร จึงจะเข้าข้อยกเว้นตามมาตรา 70 ตรี วรรคสอง แห่งประมวลรัษฎากร"
0018,"1. นางสาว ก. และพวก ได้แก่ นาง ข. นาย ค. นาย ง. นาย จ. และนางสาว ฉ. เป็นเจ้าของ กรรมสิทธิ์ร่วมกันในที่ดินจำนวน 4 แปลง ซึ่งมีการบรรยายส่วนการถือครองกรรมสิทธิ์ของ แต่ละคนไว้ในสารบัญจดทะเบียนท้ายโฉนดที่ดิน
  2. นางสาว ก. และพวก มีความประสงค์จะให้เช่าที่ดินทั้ง 4 แปลง โดยจะทำสัญญาเช่า แยกกันคนละฉบับตามสัดส่วนที่ตนถือครองกรรมสิทธิ์ และให้ผู้เช่าหักภาษีเงินได้ ณ ที่จ่าย จากเงินค่าเช่าและค่าเช่ารับล่วงหน้าที่ต้องจ่ายให้แต่ละคนตามสัญญาเช่า ซึ่งนางสาว ก. และพวก จะนำเงินที่แต่ละคนได้รับดังกล่าวไปรวมเป็นเงินได้พึงประเมินเพื่อเสียภาษีเงินได้ บุคคลธรรมดาในนามของแต่ละบุคคลแยกต่างหากจากกัน ซึ่งปัจจุบันอยู่ระหว่างการเจรจา กับผู้เช่าที่ดิน
  3. นางสาว ก. เข้าใจว่า นางสาว ก. และพวก สามารถนำเงินค่าเช่าและค่าเช่ารับล่วงหน้าที่ แต่ละคนได้รับไปรวมคำนวณเพื่อเสียภาษีเงินได้บุคคลธรรมดาในนามของตนเองได้ ตามมาตรา 56 แห่งประมวลรัษฎากร โดยผู้เช่าจะต้องหักภาษีเงินได้ ณ ที่จ่าย พร้อมทั้ง ออกหนังสือรับรองการหักภาษี ณ ที่จ่าย ให้แก่นางสาว ก. และพวก เป็นรายบุคคล โดย นางสาว ก. และพวก สามารถนำเงินภาษีที่ถูกหัก ณ ที่จ่าย และนำส่งไว้ดังกล่าวไปถือเป็น เครดิตในการคำนวณภาษีเงินได้บุคคลธรรมดาของแต่ละคนได้ ความเข้าใจดังกล่าวถูกต้อง หรือไม่ อย่างไร"
0019,บริษัท ก. (บริษัทฯ) ประกอบกิจการ ซื้อมาขายไปเวชภัณฑ์สำหรับสัตว์ นำหรือสั่งยาแผนปัจจุบันในราชอาณาจักร ขายส่งยาแผนปัจจุบัน รวมถึงนำเข้าและขายอาหารสัตว์ควบคุมเฉพาะ เนื่องจากบริษัทฯ ได้นําเข้าผลิตภัณฑ์ชื่อว่า “Z.” เพื่อใช้ทดแทน วิตามินซีสังเคราะห์ในอาหารสัตว์ โดยมีสรรพคุณใช้เพื่อเสริมภูมิคุ้มกันของสัตว์ปีก ทําให้ภูมิคุ้มกันดีขึ้นโดยการปรับปรุงการเพิ่มจํานวนของเซลล์เม็ดเลือดขาว ช่วยเสริมฤทธิ์ของไลโซไวม์ในการยับยั้งแบคทีเรียก่อโรคในซีรัมต่อสู้กับความเครียด ปกป้องเซลล์ร่างกายจากความเครียดจากการผลิตโดยทําหน้าที่เป็นสารต่อต้านอนุมูลอิสระของเซลล์ มีประสิทธิภาพในการลดอุณหภูมิของร่างกายในขณะที่เกิดความเครียดจากความร้อน นอกจากนี้ยังควบคุมระดับคอร์ติโคสเตอโรน เพื่อป้องกันผลข้างเคียงจากความเครียดในสัตว์ปีก แต่เนื่องจาก Z. ไม่ได้เป็นอาหารที่จะต้องขึ้นทะเบียนอาหารสัตว์ตามพระราชบัญญัติควบคุมอาหารสัตว์ แต่ต้องขออนุญาตนําเข้าจากกรมปศุสัตว์ ซึ่งบริษัทฯ ได้รับอนุญาตให้นําเข้าแล้ว กรณีการนำเข้าสินค้าดังกล่าว บริษัทฯ ต้องเสียภาษีมูลค่าเพิ่มหรือไม่
0020,กรณีที่มีการส่งเสริมการแข่งขันในกิจการก๊าซธรรมชาติ (จากรัฐบาล) ผู้รับใบอนุญาตจัดหา และค้าส่งก๊าซธรรมชาติ (Shipper) จะเป็นผู้จัดหาก๊าซธรรมชาติเหลว (LNG) และเก็บรักษาไว้ในถังเก็บรักษา ภายใต้การบริหารจัดการของผู้รับใบอนุญาตเก็บรักษาก๊าซธรรมชาติและแปรสภาพก๊าซธรรมชาติจากของเหลวเป็นก๊าซ (A) โดยปริมาณที่ Shipper แต่ละรายจัดหาจะถูกผสมรวมกันภายในถังเก็บรักษา ก่อนที่จะถูกแปรสภาพเป็นก๊าซธรรมชาติเข้าสู่ระบบท่อส่งก๊าซธรรมชาติ เพื่อส่งไปให้กับผู้ใช้ก๊าซของ Shipper แต่ละราย โดยในบางกรณี Shipper อาจมีการเรียก LNG เกินกว่าปริมาณที่ตนเองนำเข้า ซึ่งทางปฏิบัติสามารถจะใช้ LNG ส่วนของ Shipper รายอื่นได้ ภายใต้กระบวนการยืมและคืนภายในถังเก็บรักษา ดังนั้น การยืมและการคืน LNG ระหว่าง Shipper แต่ละรายจะต้องเสียภาษีหรือไม่
0021,หน่วยงาน A ขอหารือเกี่ยวกับการหักภาษีเงินได้ ณ ที่จ่าย สำหรับค่าเบี้ยประชุมที่จ่ายให้แก่กรรมการ อนุกรรมการ หรือผู้ทำงาน ตามระเบียบคณะกรรมการ ว่าต้องหักภาษีเงินได้ ณ ที่จ่ายไว้หรือไม่ อย่างไร โดยหน่วยงาน A เห็นว่า ค่าเบี้ยประชุมที่หน่วยงาน A ได้จ่ายให้แก่ กรรมการ อนุกรรมการ หรือผู้ทำงานนั้นเป็นเงินได้พึงประเมินที่ได้รับยกเว้นไม่ต้องรวมคำนวณเพื่อเสียภาษีเงินได้ตามมาตรา 42 (7) แห่งประมวลรัษฎากร เนื่องจากหน่วยงาน A เป็นหน่วยงานที่ได้รับการจัดสรรงบประมาณรายจ่ายตามพระราชบัญญัติงบประมาณรายจ่ายประจำปีเช่นเดียวกับส่วนราชการทั่วไป ดังนั้น หน่วยงาน A จึงไม่ต้องหักภาษีเงินได้ ณ ที่จ่าย สำหรับค่าเบี้ยประชุมดังกล่าวแต่อย่างใด
0022,หน่วยงานของรัฐซึ่งมีวัตถุประสงค์เป็นองค์กรกลางรับผิดชอบดูแลการบริหารจัดการสินค้าเกษตรบางอย่างของประเทศ มีอำนาจในการประกอบธุรกิจเกี่ยวกับสินค้าเกษตรดังกล่าว ให้กู้ยืมเงินเพื่อประโยชน์ในการดำเนินการตามวัตถุประสงค์ และจัดตั้งบริษัทจำกัดหรือบริษัทมหาชนจำกัดเพื่อประกอบธุรกิจเกี่ยวกับสินค้าเกษตรดังกล่าว ตามพ.ร.บ. ของหน่วยงาน ได้นำเงินกองทุนของหน่วยงานออกให้กู้ยืมแก่เกษตรกรเพื่อเป็นค่าใช้จ่ายสำหรับประกอบอาชีพ และให้กู้ยืมแก่สถาบันเกษตรกรและผู้ประกอบกิจการเพื่อเป็นค่าใช้จ่ายสำหรับการดำเนินการที่เกี่ยวข้องกับสินค้าเกษตรดังกล่าว โดยผู้กู้มีหน้าที่ต้องชำระต้นเงินและดอกเบี้ยคืนในอัตราดอกเบี้ยต่ำภายในระยะเวลาที่กำหนด และดอกเบี้ยที่ได้รับจากการให้กู้ยืมเงินดังกล่าวจะนำเข้าเป็นรายได้ของกองทุนของหน่วยงาน โดยไม่ต้องนำส่งคลังเป็นรายได้แผ่นดินตาม พ.ร.บ. ของหน่วยงาน จึงขอหารือว่า การนำเงินจากกองทุนของหน่วยงานออกให้กู้ยืมสำหรับกรณีดังกล่าวเข้าลักษณะเป็นการใช้ทุนหรือทุนหมุนเวียนเพื่อประกอบการพาณิชย์ที่หน่วยงานต้องเสียอากรแสตมป์หรือไม่
0023,"1. บริษัท ก. (บริษัทฯ) เป็นนิติบุคคลตามกฎหมายว่าด้วยบริษัทมหาชนจำกัด ประกอบ กิจการลงทุนในบริษัทย่อย (Holding Company) โดยบริษัทฯ ถือหุ้นในบริษัทย่อย จำนวน หลายบริษัท รวมถึงบริษัท ข. ซึ่งเป็นบริษัทจำกัดที่ตั้งขึ้นตามกฎหมายแพ่งและพาณิชย์ โดยบริษัทฯ ถือหุ้นในบริษัท ข. เป็นสัดส่วนร้อยละ 25 ของจำนวนหุ้นสามัญทั้งหมด
  2. เนื่องจากนโยบายการบัญชีของบริษัทฯ กำหนดให้บริษัทย่อยต้องทำการประเมินมูลค่า ยุติธรรมสำหรับอสังหาริมทรัพย์เพื่อการลงทุนซึ่งได้แก่ ที่ดิน อาคารเพื่อประกอบกิจการ การค้า และอาคารสำนักงาน โดยอ้างอิงจากราคาตามสภาพตลาดเพื่อให้งบการเงินสะท้อน มูลค่าที่แท้จริงของบริษัทฯ ทั้งนี้ เมื่อบริษัท ข. ปฏิบัติตามนโยบายการบัญชีดังกล่าวตั้งแต่ วันที่ 1 มกราคม 2564 เป็นต้นไป กล่าวคือ บริษัท ข. ต้องเปลี่ยนวิธีการรับรู้มูลค่า อสังหาริมทรัพย์เพื่อการลงทุนจากเดิมใช้วิธีราคาทุนมาเป็นวิธีมูลค่ายุติธรรม ส่งผลให้กำไร สะสมของบริษัท ข. ลดลง
  3. บริษัท ข. ได้ปรับปรุงมูลค่ายุติธรรมของอสังหาริมทรัพย์เพื่อการลงทุนใหม่อีกครั้ง ณ วันที่ 31 ธันวาคม 2564 ใช้วิธีประเมินมูลค่าราคายุติธรรมมาใช้ในการตีราคาทรัพย์สิน บริษัท ข. จึงมีกำไรจากการเปลี่ยนแปลงมูลค่ายุติธรรมของอสังหาริมทรัพย์ ส่งผลให้บริษัท ข. มีกำไรเพิ่มขึ้นจากการตีราคาทรัพย์สินดังกล่าว
  4. บริษัท ข. จ่ายเงินปันผลจากกำไรและกำไรสะสมที่เกิดขึ้นจากการตีราคาทรัพย์สินให้แก่ บริษัทฯ และบริษัทฯ จะจ่ายเงินปันผลดังกล่าวให้แก่ผู้ถือหุ้นของบริษัทฯ ซึ่งส่วนหนึ่งเป็น บุคคลธรรมดา
  5. บริษัทฯ จึงขอหารือ ดังนี้
    5.1 กำไรของบริษัท ข. ที่เกิดจากการตีราคาทรัพย์สินเพิ่มขึ้น ไม่ถือเป็นกำไรทางภาษี บริษัท ข. ไม่ต้องนำกำไรดังกล่าวมารวมคำนวณกำไรสุทธิหรือขาดทุนสุทธิตามมาตรา 65 ทวิ (3) แห่งประมวลรัษฎากร ถูกต้องหรือไม่
    5.2 การจ่ายเงินปันผลจะต้องเป็นไปตามมาตรา 1201 วรรคสาม แห่งประมวลกฎหมาย แพ่งและพาณิชย์ ที่บัญญัติว่า “ห้ามมิให้จ่ายเงินปันผลจากเงินประเภทอื่น นอกจาก เงินกำไร...” ดังนั้น หากบริษัท ข. มีเงินกำไรและกำไรสะสม แม้เงินนั้นจะเป็นกำไรทาง บัญชี บริษัท ข. ย่อมมีสิทธิจ่ายเงินปันผลจากกำไรนั้นให้แก่บริษัทฯ ได้ ถูกต้องหรือไม่
    5.3 เมื่อบริษัทฯ ได้รับเงินปันผลซึ่งจ่ายจากกำไรและกำไรสะสมที่เกิดจากการตีราคา ทรัพย์สินเพิ่มขึ้น บริษัทฯ ไม่ต้องนำเงินปันผลดังกล่าวมารวมเป็นรายได้ในการคำนวณ กำไรสุทธิเพื่อเสียภาษีเงินได้นิติบุคคลตามมาตรา 65 ทวิ (10) แห่งประมวลรัษฎากร เนื่องจากบริษัทฯ เป็นบริษัทจดทะเบียนและถือหุ้นที่ก่อให้เกิดเงินปันผลนั้นไว้เกินกว่า สามเดือนนับแต่วันที่ได้หุ้นนั้นมาถึงวันมีเงินได้ดังกล่าว และไม่ได้โอนหุ้นนั้นไปก่อน สามเดือนนับแต่วันที่มีเงินได้ ถูกต้องหรือไม่
    5.4 เมื่อบริษัทฯ จ่ายเงินปันผลให้แก่ผู้ถือหุ้น ซึ่งจ่ายจากกำไรส่วนที่ได้รับเงินปันผลจาก บริษัท ข. อันเกิดจากการตีราคาทรัพย์สินเพิ่มขึ้น ผู้ถือหุ้นที่เป็นบุคคลธรรมดาซึ่งได้รับ เงินปันผลดังกล่าวจะได้รับเครดิตภาษีเงินปันผลตามมาตรา 47 ทวิ แห่งประมวลรัษฎากร หรือไม่"
0024,"บริษัทจัดตั้งขึ้นตามกฎหมายประเทศไทย ประกอบธุรกิจเกี่ยวกับสิ่งทอ และมีการลงทุนในธุรกิจที่เกี่ยวข้องทั้งในประเทศไทย และในต่างประเทศ บริษัทได้แต่งตั้งให้ผู้บริหารหรือพนักงานไปดำรงตำแหน่งกรรมการในบริษัทลูกในต่างประเทศ โดยจะได้รับค่าตอบแทนเงินเดือน สวัสดิการต่าง ๆ จากหน้าที่งานของบริษัทในประเทศไทย โดยผ่านบัญชีเงินฝากของผู้บริหารหรือพนักงานในประเทศไทย และค่าตอบแทนจากการเป็นกรรมการในบริษัทลูกในต่างประเทศ ตามอัตราค่าตอบแทนเปรียบเทียบกับค่าตอบแทนในตำแหน่งเดียวกัน หรือเทียบเคียงของธุรกิจหรืออุตสาหกรรมประเภทเดียวกัน หรือให้เป็นไปตามข้อกำหนดในแต่ละประเทศ โดยบริษัทลูกในต่างประเทศจะจ่ายค่าตอบแทนให้แก่ผู้บริหารโดยตรง โดยผ่านบัญชีเงินฝากในต่างประเทศที่บริษัทลูกในต่างประเทศเปิดไว้ให้ บริษัทขอหารือ ดังนี้
  1. กรณีบริษัทจ่ายเงินเดือนหรือค่าตอบแทนเฉพาะที่เกิดจากหน้าที่งานของนายจ้างในประเทศไทย บริษัทมีหน้าที่นำเงินได้ที่ผู้บริหารหรือพนักงานได้รับเฉพาะที่จ่ายจากหน้าที่งานที่ทำให้นายจ้างในประเทศไทยมารวมคำนวณเป็นรายได้ เพื่อนำส่งภาษีหัก ณ ที่จ่าย ตามมาตรา 50 (1) แห่งประมวลรัษฎากร ใช่หรือไม่
  2. กรณีผู้บริหารหรือพนักงานที่ได้รับค่าตอบแทนจากการเป็นกรรมการในบริษัทลูกในต่างประเทศ และได้อยู่ในประเทศไทยในปีภาษีเดียวกันกับที่ได้รับเงินได้ค่าตอบแทนเกิน 180 วัน หากผู้บริหารหรือพนักงานคนดังกล่าว ไม่ได้นำเงินค่าตอบแทนที่ได้รับดังกล่าว เข้ามาในประเทศไทยในปีภาษีเดียวกัน ผู้บริหารคนดังกล่าวไม่มีหน้าที่ต้องเสียภาษีเงินได้บุคคลธรรมดาเนื่องจากหน้าที่งานที่ทำในต่างประเทศตามมาตรา 41 วรรคสอง แห่งประมวลรัษฎากร ใช่หรือไม่"
0025,"ในการก่อตั้งทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์ (REIT หรือกองทรัสต์) และกองทุนรวมอสังหาริมทรัพย์ (กอง 1) โดยมีวัตถุประสงค์เพื่อให้ REIT หรือกอง 1 เป็นช่องทางในการระดมเงินทุนของผู้ประกอบธุรกิจ ในขณะเดียวกันก็เป็นทางเลือกในการลงทุนสำหรับผู้ลงทุน ซึ่งที่ผ่านมามีการจัดตั้ง REIT หรือกอง 1 ที่นำเงินไปลงทุนในอสังหาริมทรัพย์ประเภทโรงแรม แต่เนื่องจากมีข้อกำหนดห้าม REIT หรือกอง 1 ประกอบธุรกิจโรงแรมเอง จึงต้องให้ผู้ประกอบกิจการโรงแรมเช่าอสังหาริมทรัพย์เพื่อประกอบกิจการโรงแรม โดยกำหนดค่าเช่าใน 2 ลักษณะ ได้แก่
  (1) มีเฉพาะค่าเช่าคงที่ โดยไม่มีค่าเช่าที่อ้างอิงผลประกอบการของผู้เช่า
  (2) กำหนดค่าเช่าเป็น 2 ส่วน คือ ค่าเช่าคงที่ และค่าเช่าอ้างอิงกับผลประกอบการ ของโรงแรม เช่น (ก) กำหนดเป็นอัตรา (%) ของรายได้จากกิจการโรงแรมหักด้วยค่าใช้จ่าย เงินสำรองซ่อมแซมโรงแรมและค่าเช่าคงที่ หรือ (ข) กำหนดเป็นอัตรา (%) ของกำไรก่อนดอกเบี้ยจ่าย ภาษีและค่าเสื่อมราคา (EBITDA) เป็นต้น
  ทั้งนี้ REIT หรือกอง 1 ที่ลงทุนในโรงแรมส่วนใหญ่จะกำหนดโครงสร้างค่าเช่าแบบ (2) กรณีดังกล่าวบริษัทหรือห้างหุ้นส่วนนิติบุคคลซึ่งเป็นผู้ประกอบกิจการโรงแรมสามารถนำค่าเช่าที่อ้างอิงจากรายได้หลังหักค่าใช้จ่ายมาเป็นรายจ่ายในการคำนวณภาษีเงินได้นิติบุคคลได้ไม่เป็นการต้องห้ามตามมาตรา 65 ตรี (19) แห่งประมวลรัษฎากร ใช่หรือไม่ อย่างไร"
0026,หากผู้ถือหุ้นของบริษัท ล ไม่แจ้งข้อมูลรายละเอียดการถือหุ้นให้บริษัท ล ทราบซึ่งอาจทำให้บริษัท ล จัดทำรายงานข้อมูลเกี่ยวกับบริษัทหรือห้างหุ้นส่วนนิติบุคคลที่มีความสัมพันธ์กัน และมูลค่ารวมของธุรกรรมระหว่างกันในแต่ละรอบระยะเวลาบัญชีตามมาตรา 71 ตรี วรรคหนึ่ง แห่งประมวลรัษฎากร ผิดพลาดได้ กรณีเช่นนี้ บริษัท ล จะมีความผิดตามกฎหมายหรือไม่
